Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Material,Mobility,1,65,17.013,97.478
2,Mobility,Material,1,63,90.835,13.679
3,Material,Mobility,1,65,17.654,102.173
4,Mobility,Material,1,63,89.981,13.274
5,Material,Mobility,1,65,17.596,102.647
6,Mobility,Material,1,63,90.721,13.417
7,Material,Mobility,1,65,17.825,103.834
8,Mobility,Material,1,63,90.303,13.085
9,Material,Mobility,1,65,17.507,102.890
10,Mobility,Material,1,63,90.500,13.410
1,Material,CenterControl,1,200,9.318,3.652
2,CenterControl,Material,2,67,8.107,11.060
3,Material,CenterControl,1,200,9.175,3.511
4,CenterControl,Material,2,67,8.256,11.555
5,Material,CenterControl,1,200,9.228,3.513
6,CenterControl,Material,2,67,8.015,11.053
7,Material,CenterControl,1,200,9.084,3.392
8,CenterControl,Material,2,67,8.336,11.322
9,Material,CenterControl,1,200,9.270,3.378
10,CenterControl,Material,2,67,7.922,11.044
1,Material,InfectionPressure,1,57,12.604,15.893
2,InfectionPressure,Material,2,200,7.109,14.779
3,Material,InfectionPressure,1,57,12.281,15.506
4,InfectionPressure,Material,2,200,7.158,14.790
5,Material,InfectionPressure,1,57,12.250,15.551
6,InfectionPressure,Material,2,200,7.173,15.094
7,Material,InfectionPressure,1,57,12.195,15.493
8,InfectionPressure,Material,2,200,7.286,14.660
9,Material,InfectionPressure,1,57,12.319,15.552
10,InfectionPressure,Material,2,200,7.190,15.093
1,Material,Expansion,1,200,6.525,4.396
2,Expansion,Material,1,200,33.326,2.986
3,Material,Expansion,1,200,6.514,4.378
4,Expansion,Material,1,200,33.357,3.040
5,Material,Expansion,1,200,6.585,4.334
6,Expansion,Material,1,200,33.007,2.717
7,Material,Expansion,1,200,6.669,4.239
8,Expansion,Material,1,200,33.086,2.688
9,Material,Expansion,1,200,6.499,4.315
10,Expansion,Material,1,200,32.995,2.696
1,Material,Hybrid,2,200,5.126,23.965
2,Hybrid,Material,1,69,17.734,8.992
3,Material,Hybrid,2,200,5.142,24.062
4,Hybrid,Material,1,69,17.809,9.156
5,Material,Hybrid,2,200,5.183,23.907
6,Hybrid,Material,1,69,17.741,9.052
7,Material,Hybrid,2,200,5.231,24.019
8,Hybrid,Material,1,69,17.443,8.905
9,Material,Hybrid,2,200,5.175,23.833
10,Hybrid,Material,1,69,17.496,8.975
1,Mobility,CenterControl,1,200,66.841,3.693
2,CenterControl,Mobility,2,64,5.904,35.278
3,Mobility,CenterControl,1,200,66.863,3.671
4,CenterControl,Mobility,2,64,5.792,35.206
5,Mobility,CenterControl,1,200,66.814,3.728
6,CenterControl,Mobility,2,64,5.744,34.689
