Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,Expansion,2,200,9.441,28.260
2,Expansion,Hybrid,2,68,21.966,14.060
3,Hybrid,Expansion,2,200,9.527,28.144
4,Expansion,Hybrid,2,68,22.365,14.454
5,Hybrid,Expansion,2,200,9.690,28.925
6,Expansion,Hybrid,2,68,22.223,14.630
7,Hybrid,Expansion,2,200,9.736,28.781
8,Expansion,Hybrid,2,68,21.347,14.035
9,Hybrid,Expansion,2,200,9.452,28.243
10,Expansion,Hybrid,2,68,21.650,14.224
1,Hybrid,Material,1,69,17.906,9.098
2,Material,Hybrid,2,200,5.056,24.042
3,Hybrid,Material,1,69,17.302,8.793
4,Material,Hybrid,2,200,4.972,23.761
5,Hybrid,Material,1,69,17.303,8.773
6,Material,Hybrid,2,200,4.993,23.500
7,Hybrid,Material,1,69,17.485,8.941
8,Material,Hybrid,2,200,5.038,23.523
9,Hybrid,Material,1,69,17.309,8.806
10,Material,Hybrid,2,200,5.294,23.566
1,Hybrid,Hybrid+Mat80,1,200,25.205,5.644
2,Hybrid+Mat80,Hybrid,1,57,21.733,16.490
3,Hybrid,Hybrid+Mat80,1,200,25.084,5.631
4,Hybrid+Mat80,Hybrid,1,57,21.427,16.174
5,Hybrid,Hybrid+Mat80,1,200,25.100,5.619
6,Hybrid+Mat80,Hybrid,1,57,21.550,16.308
7,Hybrid,Hybrid+Mat80,1,200,25.344,5.756
8,Hybrid+Mat80,Hybrid,1,57,21.254,15.944
9,Hybrid,Hybrid+Mat80,1,200,25.565,5.787
10,Hybrid+Mat80,Hybrid,1,57,21.198,16.807
1,Hybrid,Hybrid+Mat120,1,57,30.904,26.709
2,Hybrid+Mat120,Hybrid,2,58,26.292,26.977
3,Hybrid,Hybrid+Mat120,1,57,31.037,26.467
4,Hybrid+Mat120,Hybrid,2,58,25.788,26.536
5,Hybrid,Hybrid+Mat120,1,57,31.379,26.192
6,Hybrid+Mat120,Hybrid,2,58,25.950,26.199
7,Hybrid,Hybrid+Mat120,1,57,31.008,26.425
