Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Expansion+Mat120,Expansion+Mat80,1,71,31.142,23.591
2,Expansion+Mat80,Expansion+Mat120,1,71,30.398,23.012
3,Expansion+Mat120,Expansion+Mat80,1,71,30.560,23.277
4,Expansion+Mat80,Expansion+Mat120,1,71,30.952,22.620
5,Expansion+Mat120,Expansion+Mat80,1,71,30.966,23.261
6,Expansion+Mat80,Expansion+Mat120,1,71,30.705,22.916
7,Expansion+Mat120,Expansion+Mat80,1,71,30.481,23.356
8,Expansion+Mat80,Expansion+Mat120,1,71,30.752,22.667
9,Expansion+Mat120,Expansion+Mat80,1,71,30.547,23.278
10,Expansion+Mat80,Expansion+Mat120,1,71,30.309,22.690
1,Expansion+Mat120,Hybrid,1,63,21.706,17.174
2,Hybrid,Expansion+Mat120,2,60,26.094,19.837
3,Expansion+Mat120,Hybrid,1,63,21.093,16.925
4,Hybrid,Expansion+Mat120,2,60,26.017,19.945
5,Expansion+Mat120,Hybrid,1,63,21.367,17.036
6,Hybrid,Expansion+Mat120,2,60,26.070,19.924
7,Expansion+Mat120,Hybrid,1,63,21.517,17.036
8,Hybrid,Expansion+Mat120,2,60,25.796,19.341
9,Expansion+Mat120,Hybrid,1,63,21.902,17.307
10,Hybrid,Expansion+Mat120,2,60,26.057,19.728
1,Expansion+Mat120,Material,1,200,29.246,2.855
2,Material,Expansion+Mat120,1,200,8.794,3.749
3,Expansion+Mat120,Material,1,200,29.265,2.848
4,Material,Expansion+Mat120,1,200,8.381,3.544
5,Expansion+Mat120,Material,1,200,28.958,2.888
6,Material,Expansion+Mat120,1,200,8.376,3.535
7,Expansion+Mat120,Material,1,200,28.595,2.809
8,Material,Expansion+Mat120,1,200,8.659,3.642
9,Expansion+Mat120,Material,1,200,28.449,2.840
10,Material,Expansion+Mat120,1,200,8.434,3.550
1,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.740,23.362
2,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,31.103,22.829
3,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.685,23.149
4,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,30.686,22.802
5,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,31.028,23.507
6,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,31.493,23.157
7,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,30.828,23.515
8,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,31.159,23.126
9,Expansion+Mat120,Expansion+Mat120+Mat100,1,71,31.034,23.310
10,Expansion+Mat120+Mat100,Expansion+Mat120,1,71,31.418,23.260
1,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,31.335,23.417
2,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.253,22.955
3,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,31.146,23.475
4,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.349,22.978
5,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,31.154,23.496
6,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.276,23.343
7,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,30.953,23.485
8,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.584,23.103
9,Expansion+Mat120,Expansion+Mat80+Mat100,1,71,31.220,23.450
10,Expansion+Mat80+Mat100,Expansion+Mat120,1,71,31.405,23.079
1,Expansion+Mat120,Hybrid+Mat100,1,63,18.558,14.247
2,Hybrid+Mat100,Expansion+Mat120,1,200,26.507,7.061
3,Expansion+Mat120,Hybrid+Mat100,1,63,18.229,13.957
4,Hybrid+Mat100,Expansion+Mat120,1,200,26.571,6.869
5,Expansion+Mat120,Hybrid+Mat100,1,63,18.222,14.040
6,Hybrid+Mat100,Expansion+Mat120,1,200,26.602,7.104
7,Expansion+Mat120,Hybrid+Mat100,1,63,18.186,14.035
8,Hybrid+Mat100,Expansion+Mat120,1,200,26.584,7.037
9,Expansion+Mat120,Hybrid+Mat100,1,63,18.213,14.275
10,Hybrid+Mat100,Expansion+Mat120,1,200,26.223,6.833
1,Expansion+Mat120,Material+Mat100,1,200,29.747,3.144
2,Material+Mat100,Expansion+Mat120,1,200,8.676,3.663
3,Expansion+Mat120,Material+Mat100,1,200,29.437,2.963
4,Material+Mat100,Expansion+Mat120,1,200,8.596,3.602
5,Expansion+Mat120,Material+Mat100,1,200,29.403,2.946
6,Material+Mat100,Expansion+Mat120,1,200,8.987,3.752
7,Expansion+Mat120,Material+Mat100,1,200,28.926,2.935
8,Material+Mat100,Expansion+Mat120,1,200,8.963,3.768
9,Expansion+Mat120,Material+Mat100,1,200,28.823,3.225
10,Material+Mat100,Expansion+Mat120,1,200,8.639,3.621
1,Expansion+Mat80,Hybrid,1,63,21.951,17.345
2,Hybrid,Expansion+Mat80,2,60,26.776,19.660
3,Expansion+Mat80,Hybrid,1,63,21.845,17.263
4,Hybrid,Expansion+Mat80,2,60,26.501,19.662
5,Expansion+Mat80,Hybrid,1,63,21.760,17.130
6,Hybrid,Expansion+Mat80,2,60,26.305,19.797
7,Expansion+Mat80,Hybrid,1,63,21.910,17.194
8,Hybrid,Expansion+Mat80,2,60,26.295,19.374
9,Expansion+Mat80,Hybrid,1,63,21.837,17.373
10,Hybrid,Expansion+Mat80,2,60,25.951,19.175
1,Expansion+Mat80,Material,1,200,29.519,2.943
2,Material,Expansion+Mat80,1,200,8.506,3.644
3,Expansion+Mat80,Material,1,200,29.344,3.035
4,Material,Expansion+Mat80,1,200,8.451,3.588
5,Expansion+Mat80,Material,1,200,29.448,2.973
6,Material,Expansion+Mat80,1,200,8.487,3.711
7,Expansion+Mat80,Material,1,200,29.303,3.032
8,Material,Expansion+Mat80,1,200,8.979,3.939
9,Expansion+Mat80,Material,1,200,29.255,2.900
10,Material,Expansion+Mat80,1,200,8.767,3.949
1,Expansion+Mat80,Expansion+Mat120+Mat100,1,71,30.668,23.179
2,Expansion+Mat120+Mat100,Expansion+Mat80,1,71,31.120,23.550
3,Expansion+Mat80,Expansion+Mat120+Mat100,1,71,31.073,23.360
