Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Expansion,Hybrid,2,68,21.489,14.028
2,Hybrid,Expansion,2,200,9.407,27.837
3,Expansion,Hybrid,2,68,21.755,14.026
4,Hybrid,Expansion,2,200,9.481,27.869
5,Expansion,Hybrid,2,68,21.357,13.826
6,Hybrid,Expansion,2,200,9.572,28.133
7,Expansion,Hybrid,2,68,21.703,14.044
8,Hybrid,Expansion,2,200,9.361,28.183
9,Expansion,Hybrid,2,68,21.220,13.841
10,Hybrid,Expansion,2,200,9.389,27.728
1,Expansion,Material,1,200,32.589,2.671
2,Material,Expansion,1,200,6.207,4.089
3,Expansion,Material,1,200,32.565,2.642
4,Material,Expansion,1,200,6.265,4.096
5,Expansion,Material,1,200,32.038,2.616
6,Material,Expansion,1,200,6.448,4.140
7,Expansion,Material,1,200,31.978,2.621
8,Material,Expansion,1,200,6.479,4.278
9,Expansion,Material,1,200,32.227,2.638
10,Material,Expansion,1,200,6.385,4.245
1,Expansion,Expansion+Mat90,2,200,6.415,19.498
2,Expansion+Mat90,Expansion,1,63,16.421,18.075
3,Expansion,Expansion+Mat90,2,200,6.392,19.401
4,Expansion+Mat90,Expansion,1,63,16.427,18.058
5,Expansion,Expansion+Mat90,2,200,6.490,19.286
6,Expansion+Mat90,Expansion,1,63,16.625,17.894
7,Expansion,Expansion+Mat90,2,200,6.413,19.652
8,Expansion+Mat90,Expansion,1,63,16.421,17.868
9,Expansion,Expansion+Mat90,2,200,6.434,19.396
10,Expansion+Mat90,Expansion,1,63,16.774,17.824
1,Expansion,Expansion+Mat110,2,200,6.410,19.722
2,Expansion+Mat110,Expansion,1,63,16.617,18.170
3,Expansion,Expansion+Mat110,2,200,6.609,19.549
4,Expansion+Mat110,Expansion,1,63,16.251,17.754
5,Expansion,Expansion+Mat110,2,200,6.508,19.679
6,Expansion+Mat110,Expansion,1,63,16.257,17.745
7,Expansion,Expansion+Mat110,2,200,6.531,19.884
8,Expansion+Mat110,Expansion,1,63,16.233,17.708
9,Expansion,Expansion+Mat110,2,200,6.519,19.532
10,Expansion+Mat110,Expansion,1,63,16.196,17.671
1,Expansion,Expansion+Mat130,2,200,6.611,19.420
2,Expansion+Mat130,Expansion,1,63,16.005,17.669
3,Expansion,Expansion+Mat130,2,200,6.465,19.551
4,Expansion+Mat130,Expansion,1,63,16.076,17.694
5,Expansion,Expansion+Mat130,2,200,6.627,19.991
6,Expansion+Mat130,Expansion,1,63,16.066,17.724
7,Expansion,Expansion+Mat130,2,200,6.580,19.729
8,Expansion+Mat130,Expansion,1,63,16.523,18.234
9,Expansion,Expansion+Mat130,2,200,6.380,19.340
10,Expansion+Mat130,Expansion,1,63,16.461,18.133
1,Expansion,Expansion+Mat150,2,200,6.436,19.547
2,Expansion+Mat150,Expansion,1,63,16.252,17.852
3,Expansion,Expansion+Mat150,2,200,6.433,19.282
4,Expansion+Mat150,Expansion,1,63,16.482,18.227
5,Expansion,Expansion+Mat150,2,200,6.359,19.435
6,Expansion+Mat150,Expansion,1,63,16.127,18.517
7,Expansion,Expansion+Mat150,2,200,6.386,19.344
8,Expansion+Mat150,Expansion,1,63,16.229,17.851
9,Expansion,Expansion+Mat150,2,200,6.549,19.265
10,Expansion+Mat150,Expansion,1,63,16.314,18.075
1,Expansion,Expansion+InfectionPressurex20,2,200,5.181,19.595
2,Expansion+InfectionPressurex20,Expansion,2,200,8.936,23.630
3,Expansion,Expansion+InfectionPressurex20,2,200,5.147,19.328
4,Expansion+InfectionPressurex20,Expansion,2,200,9.186,23.873
5,Expansion,Expansion+InfectionPressurex20,2,200,5.095,19.198
6,Expansion+InfectionPressurex20,Expansion,2,200,9.221,23.943
7,Expansion,Expansion+InfectionPressurex20,2,200,5.046,19.081
8,Expansion+InfectionPressurex20,Expansion,2,200,9.018,24.172
9,Expansion,Expansion+InfectionPressurex20,2,200,5.122,19.455
10,Expansion+InfectionPressurex20,Expansion,2,200,8.970,23.626
1,Expansion,Expansion+InfectionPressurex35,2,200,5.122,21.348
2,Expansion+InfectionPressurex35,Expansion,1,200,29.598,7.142
3,Expansion,Expansion+InfectionPressurex35,2,200,5.027,20.631
4,Expansion+InfectionPressurex35,Expansion,1,200,29.281,7.210
5,Expansion,Expansion+InfectionPressurex35,2,200,5.034,20.699
6,Expansion+InfectionPressurex35,Expansion,1,200,29.379,7.202
7,Expansion,Expansion+InfectionPressurex35,2,200,5.044,20.980
8,Expansion+InfectionPressurex35,Expansion,1,200,29.606,7.134
9,Expansion,Expansion+InfectionPressurex35,2,200,5.046,20.605
10,Expansion+InfectionPressurex35,Expansion,1,200,29.540,7.139
1,Expansion,Expansion+InfectionPressurex20+Mat100,2,200,6.417,23.808
2,Expansion+InfectionPressurex20+Mat100,Expansion,1,63,19.354,18.681
3,Expansion,Expansion+InfectionPressurex20+Mat100,2,200,6.485,24.212
4,Expansion+InfectionPressurex20+Mat100,Expansion,1,63,19.181,18.402
5,Expansion,Expansion+InfectionPressurex20+Mat100,2,200,6.578,23.835
6,Expansion+InfectionPressurex20+Mat100,Expansion,1,63,19.081,18.364
7,Expansion,Expansion+InfectionPressurex20+Mat100,2,200,6.530,23.862
8,Expansion+InfectionPressurex20+Mat100,Expansion,1,63,19.448,18.787
9,Expansion,Expansion+InfectionPressurex20+Mat100,2,200,6.404,23.745
10,Expansion+InfectionPressurex20+Mat100,Expansion,1,63,19.310,18.272
1,Expansion,Expansion+InfectionPressurex35+Mat100,1,200,6.616,6.994
2,Expansion+InfectionPressurex35+Mat100,Expansion,1,63,19.227,18.472
3,Expansion,Expansion+InfectionPressurex35+Mat100,1,200,6.751,7.041
4,Expansion+InfectionPressurex35+Mat100,Expansion,1,63,18.774,18.307
5,Expansion,Expansion+InfectionPressurex35+Mat100,1,200,6.668,7.111
6,Expansion+InfectionPressurex35+Mat100,Expansion,1,63,18.755,18.309
7,Expansion,Expansion+InfectionPressurex35+Mat100,1,200,6.748,7.020
8,Expansion+InfectionPressurex35+Mat100,Expansion,1,63,18.916,18.403
9,Expansion,Expansion+InfectionPressurex35+Mat100,1,200,6.671,7.067
10,Expansion+InfectionPressurex35+Mat100,Expansion,1,63,18.758,18.349
1,Hybrid,Material,1,69,17.328,8.854
2,Material,Hybrid,2,200,5.010,23.053
3,Hybrid,Material,1,69,17.229,8.728
4,Material,Hybrid,2,200,5.049,23.440
5,Hybrid,Material,1,69,17.406,8.722
6,Material,Hybrid,2,200,4.946,23.302
7,Hybrid,Material,1,69,17.242,8.735
8,Material,Hybrid,2,200,4.940,23.382
9,Hybrid,Material,1,69,17.236,8.874
10,Material,Hybrid,2,200,4.975,23.616
1,Hybrid,Expansion+Mat90,2,60,25.751,19.380
2,Expansion+Mat90,Hybrid,1,63,21.989,17.011
3,Hybrid,Expansion+Mat90,2,60,25.640,19.385
4,Expansion+Mat90,Hybrid,1,63,21.348,17.215
5,Hybrid,Expansion+Mat90,2,60,26.070,19.571
6,Expansion+Mat90,Hybrid,1,63,21.215,16.818
7,Hybrid,Expansion+Mat90,2,60,26.017,19.747
8,Expansion+Mat90,Hybrid,1,63,21.137,16.930
9,Hybrid,Expansion+Mat90,2,60,26.105,19.813
10,Expansion+Mat90,Hybrid,1,63,21.448,17.191
1,Hybrid,Expansion+Mat110,2,60,25.762,19.481
2,Expansion+Mat110,Hybrid,1,63,21.198,17.234
3,Hybrid,Expansion+Mat110,2,60,25.639,19.269
4,Expansion+Mat110,Hybrid,1,63,21.285,17.019
5,Hybrid,Expansion+Mat110,2,60,26.466,19.796
6,Expansion+Mat110,Hybrid,1,63,21.045,16.812
7,Hybrid,Expansion+Mat110,2,60,25.962,19.690
8,Expansion+Mat110,Hybrid,1,63,21.101,16.827
9,Hybrid,Expansion+Mat110,2,60,26.060,19.569
10,Expansion+Mat110,Hybrid,1,63,21.446,17.129
1,Hybrid,Expansion+Mat130,2,60,25.779,19.313
2,Expansion+Mat130,Hybrid,1,63,21.469,17.246
3,Hybrid,Expansion+Mat130,2,60,25.584,19.291
4,Expansion+Mat130,Hybrid,1,63,21.282,17.398
5,Hybrid,Expansion+Mat130,2,60,26.202,19.647
6,Expansion+Mat130,Hybrid,1,63,21.134,16.944
7,Hybrid,Expansion+Mat130,2,60,26.173,19.914
8,Expansion+Mat130,Hybrid,1,63,21.121,16.940
9,Hybrid,Expansion+Mat130,2,60,26.055,19.650
10,Expansion+Mat130,Hybrid,1,63,21.563,17.096
1,Hybrid,Expansion+Mat150,2,60,25.825,19.382
2,Expansion+Mat150,Hybrid,1,63,21.495,17.303
3,Hybrid,Expansion+Mat150,2,60,25.571,19.344
4,Expansion+Mat150,Hybrid,1,63,21.395,17.094
5,Hybrid,Expansion+Mat150,2,60,26.419,19.693
6,Expansion+Mat150,Hybrid,1,63,21.123,16.836
7,Hybrid,Expansion+Mat150,2,60,26.227,19.780
8,Expansion+Mat150,Hybrid,1,63,21.068,16.749
9,Hybrid,Expansion+Mat150,2,60,25.811,19.703
10,Expansion+Mat150,Hybrid,1,63,21.483,17.252
1,Hybrid,Expansion+InfectionPressurex20,1,200,8.120,7.732
2,Expansion+InfectionPressurex20,Hybrid,2,60,27.623,18.134
3,Hybrid,Expansion+InfectionPressurex20,1,200,8.163,7.771
4,Expansion+InfectionPressurex20,Hybrid,2,60,27.354,17.931
5,Hybrid,Expansion+InfectionPressurex20,1,200,8.271,7.894
6,Expansion+InfectionPressurex20,Hybrid,2,60,27.516,18.073
7,Hybrid,Expansion+InfectionPressurex20,1,200,8.061,7.645
8,Expansion+InfectionPressurex20,Hybrid,2,60,27.862,18.056
9,Hybrid,Expansion+InfectionPressurex20,1,200,8.159,7.765
10,Expansion+InfectionPressurex20,Hybrid,2,60,27.314,17.891
1,Hybrid,Expansion+InfectionPressurex35,1,200,26.584,8.427
2,Expansion+InfectionPressurex35,Hybrid,2,200,8.180,19.789
3,Hybrid,Expansion+InfectionPressurex35,1,200,26.151,8.207
4,Expansion+InfectionPressurex35,Hybrid,2,200,8.174,19.824
5,Hybrid,Expansion+InfectionPressurex35,1,200,26.422,8.298
6,Expansion+InfectionPressurex35,Hybrid,2,200,8.357,19.681
7,Hybrid,Expansion+InfectionPressurex35,1,200,26.548,8.236
8,Expansion+InfectionPressurex35,Hybrid,2,200,8.255,19.674
9,Hybrid,Expansion+InfectionPressurex35,1,200,26.579,8.256
10,Expansion+InfectionPressurex35,Hybrid,2,200,8.154,19.448
1,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.913,20.966
2,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.302,17.698
3,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.440,20.754
4,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.593,17.547
5,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.618,21.281
6,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,27.028,17.508
7,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.743,21.157
8,Expansion+InfectionPressurex20+Mat100,Hybrid,2,66,28.091,17.578
9,Hybrid,Expansion+InfectionPressurex20+Mat100,2,68,23.762,21.128
