Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Material,Expansion,1,200,6.219,4.305
2,Expansion,Material,1,200,10.604,2.732
3,Material,Expansion,1,200,6.119,4.310
4,Expansion,Material,1,200,10.446,2.673
5,Material,Expansion,1,200,6.078,4.135
6,Expansion,Material,1,200,10.614,2.830
7,Material,Expansion,1,200,6.080,4.071
8,Expansion,Material,1,200,10.695,2.795
9,Material,Expansion,1,200,5.994,4.084
10,Expansion,Material,1,200,10.351,2.629
1,Material,Hybrid,1,63,12.530,26.822
2,Hybrid,Material,1,65,17.817,8.066
3,Material,Hybrid,1,63,12.528,26.972
4,Hybrid,Material,1,65,17.888,8.207
5,Material,Hybrid,1,63,12.540,26.868
6,Hybrid,Material,1,65,17.888,8.134
7,Material,Hybrid,1,63,12.783,27.169
8,Hybrid,Material,1,65,17.867,8.076
9,Material,Hybrid,1,63,12.487,26.925
10,Hybrid,Material,1,65,17.819,8.135
1,Material,Mobility,1,71,14.650,98.624
2,Mobility,Material,1,63,92.218,9.547
3,Material,Mobility,1,71,14.652,98.867
4,Mobility,Material,1,63,92.400,9.649
5,Material,Mobility,1,71,14.697,98.891
6,Mobility,Material,1,63,92.672,9.578
7,Material,Mobility,1,71,15.068,99.933
8,Mobility,Material,1,63,92.105,9.533
9,Material,Mobility,1,71,14.601,98.867
10,Mobility,Material,1,63,92.081,9.595
1,Material,PotentialConversion,2,62,16.313,14.854
2,PotentialConversion,Material,2,62,18.365,13.101
3,Material,PotentialConversion,2,62,16.259,14.765
4,PotentialConversion,Material,2,62,18.166,12.907
5,Material,PotentialConversion,2,62,16.087,14.678
6,PotentialConversion,Material,2,62,18.169,12.866
7,Material,PotentialConversion,2,62,16.237,14.668
8,PotentialConversion,Material,2,62,18.188,12.903
9,Material,PotentialConversion,2,62,16.117,14.698
10,PotentialConversion,Material,2,62,18.163,12.825
1,Material,PositionWeight,2,56,6.523,8.472
2,PositionWeight,Material,2,62,12.165,10.359
3,Material,PositionWeight,2,56,6.491,8.481
4,PositionWeight,Material,2,62,12.115,10.224
5,Material,PositionWeight,2,56,6.521,8.492
6,PositionWeight,Material,2,62,12.190,10.271
7,Material,PositionWeight,2,56,6.484,8.521
8,PositionWeight,Material,2,62,12.169,10.247
9,Material,PositionWeight,2,56,6.502,8.489
10,PositionWeight,Material,2,62,12.187,10.291
1,Material,ControlArea,2,200,3.957,19.427
2,ControlArea,Material,2,200,8.455,9.329
3,Material,ControlArea,2,200,3.970,19.589
4,ControlArea,Material,2,200,8.520,9.323
5,Material,ControlArea,2,200,3.964,19.471
6,ControlArea,Material,2,200,8.401,9.286
7,Material,ControlArea,2,200,3.945,19.503
8,ControlArea,Material,2,200,8.416,9.287
9,Material,ControlArea,2,200,3.936,19.411
10,ControlArea,Material,2,200,8.456,9.281
1,Material,Aggression,2,62,10.750,21.767
2,Aggression,Material,2,62,53.801,15.768
3,Material,Aggression,2,62,10.927,21.778
4,Aggression,Material,2,62,53.847,15.942
5,Material,Aggression,2,62,10.896,21.834
6,Aggression,Material,2,62,54.142,15.874
7,Material,Aggression,2,62,10.835,21.891
8,Aggression,Material,2,62,55.074,16.230
9,Material,Aggression,2,62,10.841,21.803
10,Aggression,Material,2,62,54.075,15.901
1,Material,Adaptive,1,200,8.894,4.514
2,Adaptive,Material,1,65,18.679,8.187
3,Material,Adaptive,1,200,8.915,4.540
4,Adaptive,Material,1,65,18.544,8.069
5,Material,Adaptive,1,200,8.825,4.490
6,Adaptive,Material,1,65,18.737,8.119
7,Material,Adaptive,1,200,8.770,4.467
8,Adaptive,Material,1,65,18.592,8.170
9,Material,Adaptive,1,200,8.809,4.483
10,Adaptive,Material,1,65,18.580,8.116
1,Expansion,Hybrid,2,66,28.797,23.255
2,Hybrid,Expansion,1,63,21.739,21.261
3,Expansion,Hybrid,2,66,28.434,22.096
4,Hybrid,Expansion,1,63,21.559,21.144
5,Expansion,Hybrid,2,66,28.467,22.163
6,Hybrid,Expansion,1,63,21.685,21.183
7,Expansion,Hybrid,2,66,28.287,22.050
8,Hybrid,Expansion,1,63,21.790,21.311
9,Expansion,Hybrid,2,66,28.293,22.023
10,Hybrid,Expansion,1,63,21.587,21.181
1,Expansion,Mobility,1,63,18.939,61.810
2,Mobility,Expansion,1,59,53.044,17.143
3,Expansion,Mobility,1,63,18.938,61.423
4,Mobility,Expansion,1,59,53.047,17.124
5,Expansion,Mobility,1,63,18.928,61.350
6,Mobility,Expansion,1,59,53.038,17.174
7,Expansion,Mobility,1,63,19.111,61.559
8,Mobility,Expansion,1,59,53.028,17.156
9,Expansion,Mobility,1,63,18.976,61.299
10,Mobility,Expansion,1,59,53.096,17.421
1,Expansion,PotentialConversion,1,200,10.404,3.576
2,PotentialConversion,Expansion,1,200,7.106,4.059
3,Expansion,PotentialConversion,1,200,10.291,3.528
