Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,Material,1,65,17.780,8.066
2,Material,Hybrid,1,63,12.801,27.280
3,Hybrid,Material,1,65,17.829,8.067
4,Material,Hybrid,1,63,12.527,26.806
5,Hybrid,Material,1,65,17.688,8.025
6,Material,Hybrid,1,63,12.519,26.787
7,Hybrid,Material,1,65,17.920,8.184
8,Material,Hybrid,1,63,12.665,27.256
9,Hybrid,Material,1,65,17.911,8.136
10,Material,Hybrid,1,63,12.466,26.794
1,Hybrid,PositionWeight,1,60,12.284,7.205
2,PositionWeight,Hybrid,1,55,9.271,17.235
3,Hybrid,PositionWeight,1,60,12.202,7.088
4,PositionWeight,Hybrid,1,55,9.282,17.364
5,Hybrid,PositionWeight,1,60,12.381,7.240
6,PositionWeight,Hybrid,1,55,9.268,17.230
7,Hybrid,PositionWeight,1,60,12.224,7.116
8,PositionWeight,Hybrid,1,55,9.349,17.340
9,Hybrid,PositionWeight,1,60,12.180,7.083
10,PositionWeight,Hybrid,1,55,9.266,17.188
1,Hybrid,Expansion,1,63,21.765,21.280
2,Expansion,Hybrid,2,66,28.371,22.125
3,Hybrid,Expansion,1,63,21.595,21.189
4,Expansion,Hybrid,2,66,28.958,22.338
5,Hybrid,Expansion,1,63,21.643,21.264
6,Expansion,Hybrid,2,66,28.344,22.106
7,Hybrid,Expansion,1,63,21.630,21.212
8,Expansion,Hybrid,2,66,28.333,22.027
9,Hybrid,Expansion,1,63,21.693,21.298
10,Expansion,Hybrid,2,66,28.116,21.926
1,Hybrid,PotentialConversion,1,65,17.821,9.547
2,PotentialConversion,Hybrid,1,63,14.136,26.783
3,Hybrid,PotentialConversion,1,65,17.824,9.526
4,PotentialConversion,Hybrid,1,63,14.233,26.846
5,Hybrid,PotentialConversion,1,65,17.749,9.544
6,PotentialConversion,Hybrid,1,63,14.181,26.732
7,Hybrid,PotentialConversion,1,65,17.736,9.496
8,PotentialConversion,Hybrid,1,63,14.175,26.775
9,Hybrid,PotentialConversion,1,65,17.764,9.519
10,PotentialConversion,Hybrid,1,63,14.195,26.825
1,Material,PositionWeight,2,56,6.588,8.716
2,PositionWeight,Material,2,62,12.293,10.410
3,Material,PositionWeight,2,56,6.703,8.697
4,PositionWeight,Material,2,62,12.267,10.337
5,Material,PositionWeight,2,56,6.440,8.471
6,PositionWeight,Material,2,62,12.298,10.395
7,Material,PositionWeight,2,56,6.601,8.649
8,PositionWeight,Material,2,62,12.404,10.509
9,Material,PositionWeight,2,56,6.595,8.548
10,PositionWeight,Material,2,62,12.090,10.234
1,Material,Expansion,1,200,6.055,4.047
2,Expansion,Material,1,200,10.502,2.809
3,Material,Expansion,1,200,6.187,4.124
4,Expansion,Material,1,200,10.310,2.618
5,Material,Expansion,1,200,6.034,4.031
6,Expansion,Material,1,200,10.285,2.605
7,Material,Expansion,1,200,5.964,4.028
8,Expansion,Material,1,200,10.335,2.663
9,Material,Expansion,1,200,5.964,4.015
10,Expansion,Material,1,200,10.270,2.603
1,Material,PotentialConversion,2,62,16.034,14.587
2,PotentialConversion,Material,2,62,18.076,12.823
3,Material,PotentialConversion,2,62,15.942,14.561
4,PotentialConversion,Material,2,62,18.102,12.807
5,Material,PotentialConversion,2,62,16.002,14.555
6,PotentialConversion,Material,2,62,18.010,12.793
7,Material,PotentialConversion,2,62,16.058,14.642
8,PotentialConversion,Material,2,62,18.055,12.783
9,Material,PotentialConversion,2,62,16.119,14.700
10,PotentialConversion,Material,2,62,18.039,12.781
1,PositionWeight,Expansion,2,68,8.342,15.703
2,Expansion,PositionWeight,1,67,21.593,18.105
3,PositionWeight,Expansion,2,68,8.333,15.622
4,Expansion,PositionWeight,1,67,21.616,18.075
5,PositionWeight,Expansion,2,68,8.356,15.658
6,Expansion,PositionWeight,1,67,21.666,18.172
7,PositionWeight,Expansion,2,68,8.387,15.675
8,Expansion,PositionWeight,1,67,21.519,18.090
9,PositionWeight,Expansion,2,68,8.343,15.637
10,Expansion,PositionWeight,1,67,21.507,18.039
1,PositionWeight,PotentialConversion,2,62,12.062,11.446
2,PotentialConversion,PositionWeight,2,56,7.629,8.558
3,PositionWeight,PotentialConversion,2,62,12.238,11.580
4,PotentialConversion,PositionWeight,2,56,7.732,8.657
5,PositionWeight,PotentialConversion,2,62,12.241,11.597
6,PotentialConversion,PositionWeight,2,56,7.680,8.608
7,PositionWeight,PotentialConversion,2,62,12.075,11.388
8,PotentialConversion,PositionWeight,2,56,7.711,8.614
9,PositionWeight,PotentialConversion,2,62,12.214,11.525
10,PotentialConversion,PositionWeight,2,56,7.699,8.612
1,Expansion,PotentialConversion,1,200,10.311,3.570
2,PotentialConversion,Expansion,1,200,7.054,4.032
3,Expansion,PotentialConversion,1,200,10.317,3.510
4,PotentialConversion,Expansion,1,200,7.187,4.258
5,Expansion,PotentialConversion,1,200,10.288,3.556
6,PotentialConversion,Expansion,1,200,6.966,4.008
7,Expansion,PotentialConversion,1,200,10.313,3.550
8,PotentialConversion,Expansion,1,200,7.004,4.040
9,Expansion,PotentialConversion,1,200,10.325,3.536
10,PotentialConversion,Expansion,1,200,6.958,4.010
