Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,Material,1,65,17.892,8.247
2,Material,Hybrid,1,63,12.792,27.217
3,Hybrid,Material,1,65,17.881,8.139
4,Material,Hybrid,1,63,12.723,27.068
5,Hybrid,Material,1,65,17.808,8.176
6,Material,Hybrid,1,63,12.674,27.146
7,Hybrid,Material,1,65,17.818,8.094
8,Material,Hybrid,1,63,12.665,27.006
9,Hybrid,Material,1,65,17.895,8.165
10,Material,Hybrid,1,63,12.548,26.937
1,Hybrid,Hybrid+Mat40,2,60,23.470,16.587
2,Hybrid+Mat40,Hybrid,1,67,24.464,22.880
3,Hybrid,Hybrid+Mat40,2,60,23.361,16.456
4,Hybrid+Mat40,Hybrid,1,67,24.399,22.793
5,Hybrid,Hybrid+Mat40,2,60,24.445,17.045
6,Hybrid+Mat40,Hybrid,1,67,24.528,22.784
7,Hybrid,Hybrid+Mat40,2,60,23.456,16.557
8,Hybrid+Mat40,Hybrid,1,67,24.371,22.741
9,Hybrid,Hybrid+Mat40,2,60,23.345,16.436
10,Hybrid+Mat40,Hybrid,1,67,24.476,22.862
1,Hybrid,Hybrid+Mat80,1,63,17.674,15.939
2,Hybrid+Mat80,Hybrid,2,58,28.673,19.210
3,Hybrid,Hybrid+Mat80,1,63,17.408,15.783
4,Hybrid+Mat80,Hybrid,2,58,28.505,19.094
5,Hybrid,Hybrid+Mat80,1,63,17.436,15.796
6,Hybrid+Mat80,Hybrid,2,58,28.552,19.149
7,Hybrid,Hybrid+Mat80,1,63,17.692,15.917
8,Hybrid+Mat80,Hybrid,2,58,28.670,19.203
9,Hybrid,Hybrid+Mat80,1,63,17.492,15.757
10,Hybrid+Mat80,Hybrid,2,58,28.581,19.084
1,Hybrid,Hybrid+Mat120,1,55,21.308,15.338
2,Hybrid+Mat120,Hybrid,1,59,24.453,19.943
3,Hybrid,Hybrid+Mat120,1,55,21.681,15.470
4,Hybrid+Mat120,Hybrid,1,59,24.441,19.949
5,Hybrid,Hybrid+Mat120,1,55,21.268,15.282
6,Hybrid+Mat120,Hybrid,1,59,24.703,20.234
7,Hybrid,Hybrid+Mat120,1,55,21.334,15.309
8,Hybrid+Mat120,Hybrid,1,59,24.384,19.896
9,Hybrid,Hybrid+Mat120,1,55,21.293,15.278
10,Hybrid+Mat120,Hybrid,1,59,24.516,19.994
1,Hybrid,Material+Mat40,1,65,18.153,8.562
2,Material+Mat40,Hybrid,1,63,12.801,26.920
3,Hybrid,Material+Mat40,1,65,17.712,8.216
4,Material+Mat40,Hybrid,1,63,12.721,26.873
5,Hybrid,Material+Mat40,1,65,17.856,8.348
6,Material+Mat40,Hybrid,1,63,12.881,27.034
7,Hybrid,Material+Mat40,1,65,17.828,8.330
8,Material+Mat40,Hybrid,1,63,12.771,26.818
9,Hybrid,Material+Mat40,1,65,17.688,8.249
10,Material+Mat40,Hybrid,1,63,12.824,26.972
1,Hybrid,Material+Mat80,1,65,17.779,8.304
2,Material+Mat80,Hybrid,1,63,12.745,26.950
3,Hybrid,Material+Mat80,1,65,17.760,8.272
4,Material+Mat80,Hybrid,1,63,12.813,26.936
5,Hybrid,Material+Mat80,1,65,17.867,8.295
6,Material+Mat80,Hybrid,1,63,12.705,26.844
7,Hybrid,Material+Mat80,1,65,17.826,8.230
8,Material+Mat80,Hybrid,1,63,12.724,26.936
9,Hybrid,Material+Mat80,1,65,17.792,8.299
10,Material+Mat80,Hybrid,1,63,12.774,26.956
1,Hybrid,Material+Mat120,1,65,17.758,8.234
2,Material+Mat120,Hybrid,1,63,12.997,27.102
3,Hybrid,Material+Mat120,1,65,17.770,8.256
4,Material+Mat120,Hybrid,1,63,12.684,26.943
5,Hybrid,Material+Mat120,1,65,17.831,8.321
6,Material+Mat120,Hybrid,1,63,12.768,26.943
7,Hybrid,Material+Mat120,1,65,17.826,8.307
8,Material+Mat120,Hybrid,1,63,12.801,27.049
9,Hybrid,Material+Mat120,1,65,17.768,8.216
10,Material+Mat120,Hybrid,1,63,12.742,26.943
1,Material,Hybrid+Mat40,2,200,4.800,22.502
2,Hybrid+Mat40,Material,1,69,17.086,8.506
3,Material,Hybrid+Mat40,2,200,4.825,22.805
4,Hybrid+Mat40,Material,1,69,17.143,8.618
5,Material,Hybrid+Mat40,2,200,4.760,22.439
6,Hybrid+Mat40,Material,1,69,16.972,8.475
7,Material,Hybrid+Mat40,2,200,4.787,22.519
8,Hybrid+Mat40,Material,1,69,17.173,8.557
9,Material,Hybrid+Mat40,2,200,4.831,22.608
10,Hybrid+Mat40,Material,1,69,17.026,8.524
1,Material,Hybrid+Mat80,1,67,13.672,28.976
2,Hybrid+Mat80,Material,1,59,12.705,7.792
3,Material,Hybrid+Mat80,1,67,13.271,27.927
4,Hybrid+Mat80,Material,1,59,12.695,7.834
5,Material,Hybrid+Mat80,1,67,13.308,27.995
6,Hybrid+Mat80,Material,1,59,12.852,7.858
7,Material,Hybrid+Mat80,1,67,13.334,27.903
8,Hybrid+Mat80,Material,1,59,12.816,7.924
9,Material,Hybrid+Mat80,1,67,13.378,28.000
10,Hybrid+Mat80,Material,1,59,12.710,7.850
1,Material,Hybrid+Mat120,1,200,5.079,6.744
2,Hybrid+Mat120,Material,2,60,13.741,9.057
3,Material,Hybrid+Mat120,1,200,5.173,6.837
4,Hybrid+Mat120,Material,2,60,13.740,9.001
5,Material,Hybrid+Mat120,1,200,5.073,6.734
6,Hybrid+Mat120,Material,2,60,13.839,9.051
7,Material,Hybrid+Mat120,1,200,5.215,6.904
8,Hybrid+Mat120,Material,2,60,13.850,9.008
9,Material,Hybrid+Mat120,1,200,5.092,6.762
10,Hybrid+Mat120,Material,2,60,13.655,8.931
1,Material,Material+Mat40,2,62,16.307,13.271
2,Material+Mat40,Material,2,62,16.348,12.929
3,Material,Material+Mat40,2,62,16.117,13.191
4,Material+Mat40,Material,2,62,16.506,12.976
5,Material,Material+Mat40,2,62,16.128,13.090
6,Material+Mat40,Material,2,62,16.347,12.937
7,Material,Material+Mat40,2,62,16.149,13.058
8,Material+Mat40,Material,2,62,16.306,12.935
9,Material,Material+Mat40,2,62,16.238,13.174
10,Material+Mat40,Material,2,62,16.285,12.916
1,Material,Material+Mat80,2,62,16.150,13.166
2,Material+Mat80,Material,2,62,16.293,12.852
3,Material,Material+Mat80,2,62,16.129,13.094
4,Material+Mat80,Material,2,62,16.417,12.989
5,Material,Material+Mat80,2,62,16.081,13.119
6,Material+Mat80,Material,2,62,16.363,12.961
7,Material,Material+Mat80,2,62,16.309,13.183
8,Material+Mat80,Material,2,62,16.605,13.076
9,Material,Material+Mat80,2,62,16.188,13.186
10,Material+Mat80,Material,2,62,16.241,12.868
1,Material,Material+Mat120,2,62,16.235,13.161
2,Material+Mat120,Material,2,62,16.274,12.938
3,Material,Material+Mat120,2,62,16.519,13.479
4,Material+Mat120,Material,2,62,16.521,13.097
5,Material,Material+Mat120,2,62,16.117,13.142
6,Material+Mat120,Material,2,62,16.349,13.001
7,Material,Material+Mat120,2,62,16.182,13.084
8,Material+Mat120,Material,2,62,16.301,12.956
9,Material,Material+Mat120,2,62,16.204,13.169
10,Material+Mat120,Material,2,62,16.302,12.864
1,Hybrid+Mat40,Hybrid+Mat80,1,67,22.160,20.536
2,Hybrid+Mat80,Hybrid+Mat40,1,57,20.278,15.506
3,Hybrid+Mat40,Hybrid+Mat80,1,67,22.271,20.466
4,Hybrid+Mat80,Hybrid+Mat40,1,57,20.158,15.449
5,Hybrid+Mat40,Hybrid+Mat80,1,67,22.271,20.390
6,Hybrid+Mat80,Hybrid+Mat40,1,57,20.261,15.417
7,Hybrid+Mat40,Hybrid+Mat80,1,67,22.170,20.329
8,Hybrid+Mat80,Hybrid+Mat40,1,57,20.246,15.486
9,Hybrid+Mat40,Hybrid+Mat80,1,67,22.313,20.359
10,Hybrid+Mat80,Hybrid+Mat40,1,57,20.172,15.380
1,Hybrid+Mat40,Hybrid+Mat120,1,200,24.453,5.381
2,Hybrid+Mat120,Hybrid+Mat40,1,57,20.134,15.442
3,Hybrid+Mat40,Hybrid+Mat120,1,200,24.408,5.379
4,Hybrid+Mat120,Hybrid+Mat40,1,57,20.190,15.384
5,Hybrid+Mat40,Hybrid+Mat120,1,200,24.330,5.347
6,Hybrid+Mat120,Hybrid+Mat40,1,57,20.076,15.408
7,Hybrid+Mat40,Hybrid+Mat120,1,200,24.381,5.369
8,Hybrid+Mat120,Hybrid+Mat40,1,57,20.126,15.447
9,Hybrid+Mat40,Hybrid+Mat120,1,200,24.446,5.397
10,Hybrid+Mat120,Hybrid+Mat40,1,57,20.280,15.539
1,Hybrid+Mat40,Material+Mat40,1,69,17.065,8.680
2,Material+Mat40,Hybrid+Mat40,2,200,4.871,22.582
3,Hybrid+Mat40,Material+Mat40,1,69,17.071,8.639
4,Material+Mat40,Hybrid+Mat40,2,200,4.921,22.666
5,Hybrid+Mat40,Material+Mat40,1,69,17.019,8.663
6,Material+Mat40,Hybrid+Mat40,2,200,4.928,22.536
7,Hybrid+Mat40,Material+Mat40,1,69,17.057,8.647
8,Material+Mat40,Hybrid+Mat40,2,200,4.862,22.566
9,Hybrid+Mat40,Material+Mat40,1,69,16.980,8.620
10,Material+Mat40,Hybrid+Mat40,2,200,4.909,22.681
1,Hybrid+Mat40,Material+Mat80,1,69,17.012,8.628
2,Material+Mat80,Hybrid+Mat40,2,200,4.847,22.583
3,Hybrid+Mat40,Material+Mat80,1,69,17.062,8.647
4,Material+Mat80,Hybrid+Mat40,2,200,4.866,22.556
5,Hybrid+Mat40,Material+Mat80,1,69,16.992,8.638
6,Material+Mat80,Hybrid+Mat40,2,200,5.122,22.568
7,Hybrid+Mat40,Material+Mat80,1,69,17.061,8.645
8,Material+Mat80,Hybrid+Mat40,2,200,4.826,22.444
9,Hybrid+Mat40,Material+Mat80,1,69,17.090,8.703
10,Material+Mat80,Hybrid+Mat40,2,200,4.849,22.604
1,Hybrid+Mat40,Material+Mat120,1,69,17.052,8.677
2,Material+Mat120,Hybrid+Mat40,2,200,4.821,22.469
3,Hybrid+Mat40,Material+Mat120,1,69,17.008,8.715
4,Material+Mat120,Hybrid+Mat40,2,200,4.879,22.410
5,Hybrid+Mat40,Material+Mat120,1,69,17.562,9.173
6,Material+Mat120,Hybrid+Mat40,2,200,4.934,22.861
7,Hybrid+Mat40,Material+Mat120,1,69,17.066,8.670
8,Material+Mat120,Hybrid+Mat40,2,200,4.841,22.497
9,Hybrid+Mat40,Material+Mat120,1,69,17.075,8.687
10,Material+Mat120,Hybrid+Mat40,2,200,4.834,22.517
1,Hybrid+Mat80,Hybrid+Mat120,1,200,24.392,5.460
2,Hybrid+Mat120,Hybrid+Mat80,1,200,20.639,5.880
3,Hybrid+Mat80,Hybrid+Mat120,1,200,24.346,5.428
4,Hybrid+Mat120,Hybrid+Mat80,1,200,20.634,5.826
5,Hybrid+Mat80,Hybrid+Mat120,1,200,24.347,5.429
6,Hybrid+Mat120,Hybrid+Mat80,1,200,20.677,5.848
7,Hybrid+Mat80,Hybrid+Mat120,1,200,24.070,5.384
8,Hybrid+Mat120,Hybrid+Mat80,1,200,20.581,5.961
9,Hybrid+Mat80,Hybrid+Mat120,1,200,24.027,5.349
10,Hybrid+Mat120,Hybrid+Mat80,1,200,20.722,5.874
1,Hybrid+Mat80,Material+Mat40,1,59,12.776,8.010
2,Material+Mat40,Hybrid+Mat80,1,67,13.528,27.903
3,Hybrid+Mat80,Material+Mat40,1,59,12.655,7.890
