Trial,P1,P2,Winner,Ply,P1AvgMS,P2AvgMS
1,Hybrid,Material,1,65,18.024,8.225
2,Material,Hybrid,1,63,12.833,27.412
3,Hybrid,Material,1,65,18.053,8.238
4,Material,Hybrid,1,63,12.487,26.823
5,Hybrid,Material,1,65,17.669,8.037
6,Material,Hybrid,1,63,12.514,26.816
7,Hybrid,Material,1,65,17.814,8.131
8,Material,Hybrid,1,63,12.497,26.811
9,Hybrid,Material,1,65,17.822,8.159
10,Material,Hybrid,1,63,12.506,26.886
1,Hybrid,PotentialConversion,1,65,17.733,9.545
2,PotentialConversion,Hybrid,1,63,14.295,26.857
3,Hybrid,PotentialConversion,1,65,17.723,9.543
4,PotentialConversion,Hybrid,1,63,14.206,26.881
5,Hybrid,PotentialConversion,1,65,18.033,9.582
6,PotentialConversion,Hybrid,1,63,14.289,26.888
7,Hybrid,PotentialConversion,1,65,17.694,9.502
8,PotentialConversion,Hybrid,1,63,14.140,26.829
9,Hybrid,PotentialConversion,1,65,18.951,9.841
10,PotentialConversion,Hybrid,1,63,14.603,27.810
1,Hybrid,Hybrid+Mat20,1,55,21.436,21.469
2,Hybrid+Mat20,Hybrid,1,59,18.478,21.368
3,Hybrid,Hybrid+Mat20,1,55,21.353,21.616
4,Hybrid+Mat20,Hybrid,1,59,18.411,21.303
5,Hybrid,Hybrid+Mat20,1,55,21.313,21.340
6,Hybrid+Mat20,Hybrid,1,59,18.435,21.362
7,Hybrid,Hybrid+Mat20,1,55,21.328,21.375
8,Hybrid+Mat20,Hybrid,1,59,18.374,21.347
9,Hybrid,Hybrid+Mat20,1,55,21.324,21.450
10,Hybrid+Mat20,Hybrid,1,59,18.481,21.476
1,Hybrid,Hybrid+Mat30,1,55,21.370,21.276
2,Hybrid+Mat30,Hybrid,2,62,19.488,15.904
3,Hybrid,Hybrid+Mat30,1,55,21.266,21.183
4,Hybrid+Mat30,Hybrid,2,62,19.591,16.316
5,Hybrid,Hybrid+Mat30,1,55,21.464,21.406
6,Hybrid+Mat30,Hybrid,2,62,19.701,15.985
7,Hybrid,Hybrid+Mat30,1,55,21.249,21.335
8,Hybrid+Mat30,Hybrid,2,62,19.604,15.944
9,Hybrid,Hybrid+Mat30,1,55,21.470,21.485
10,Hybrid+Mat30,Hybrid,2,62,20.091,16.391
1,Hybrid,Hybrid+Mat40,2,60,23.563,16.555
